	Unnamed: 0	sampleID	x	y
0	0	FP0008-C	-9.832345292162776	16.56542590907422
1	1	FP0009-C	-9.832345292162776	16.56542590907422
2	2	FP0010-CW	-9.832345292162776	16.56542590907422
3	3	FP0011-CW	-9.832345292162776	16.56542590907422
4	4	FP0012-CW	-9.832345292162776	16.56542590907422
5	5	FP0013-CW	-9.832345292162776	16.56542590907422
6	6	FP0014-CW	-9.832345292162776	16.56542590907422
7	7	FP0015-C	-9.832345292162776	16.56542590907422
8	8	FP0016-C	-9.832345292162776	16.56542590907422
9	9	FP0017-C	-9.832345292162776	16.56542590907422
10	10	FP0018-C	-9.832345292162776	16.56542590907422
11	11	FP0019-CW	-9.832345292162776	16.56542590907422
12	12	FP0020-C	-9.832345292162776	16.56542590907422
13	13	FP0021-C	-9.832345292162776	16.56542590907422
14	14	FP0022-C	-9.832345292162776	16.56542590907422
15	15	FP0023-C	-9.832345292162776	16.56542590907422
16	16	FP0024-C	-9.832345292162776	16.56542590907422
17	17	FP0025-C		
18	18	FP0028-C	-9.832345292162776	16.56542590907422
19	19	FP0029-C	-9.832345292162776	16.56542590907422
20	20	FP0030-C	-9.832345292162776	16.56542590907422
21	21	FP0031-C	-9.832345292162776	16.56542590907422
22	22	FP0032-C	-9.832345292162776	16.56542590907422
23	23	FP0033-C	-9.832345292162776	16.56542590907422
24	24	FP0034-C	-9.832345292162776	16.56542590907422
25	25	FP0035-C	-9.832345292162776	16.56542590907422
26	26	FP0037-CW	-9.832345292162776	16.56542590907422
27	27	FP0038-C	-9.832345292162776	16.56542590907422
28	28	FP0039-C	-9.832345292162776	16.56542590907422
29	29	FP0040-C	-9.832345292162776	16.56542590907422
30	30	FP0041-C	-9.832345292162776	16.56542590907422
31	31	FP0042-C	-9.832345292162776	16.56542590907422
32	32	FP0043-C	-9.832345292162776	16.56542590907422
33	33	FP0044-C	-9.832345292162776	16.56542590907422
34	34	FP0045-CW	-9.832345292162776	16.56542590907422
35	35	FP0046-C	-9.832345292162776	16.56542590907422
36	36	FP0047-C	-9.832345292162776	16.56542590907422
37	37	FP0048-C	-9.832345292162776	16.56542590907422
38	38	FP0050-CW	-9.832345292162776	16.56542590907422
39	39	FP0051-C	-12.125583677443585	15.376999837973292
40	40	FP0052-C		
41	41	FP0054-C	-12.125583677443585	15.376999837973292
42	42	FP0055-C	-12.125583677443585	15.376999837973292
43	43	FP0056-C	-12.125583677443585	15.376999837973292
44	44	FP0057-C	-12.125583677443585	15.376999837973292
45	45	FP0058-C	-12.125583677443585	15.376999837973292
46	46	FP0059-C	-12.125583677443585	15.376999837973292
47	47	FP0061-C	-12.125583677443585	15.376999837973292
48	48	FP0062-C	-12.125583677443585	15.376999837973292
49	49	FP0063-C	-12.125583677443585	15.376999837973292
50	50	FP0065-C	-12.125583677443585	15.376999837973292
51	51	FP0066-C	-12.125583677443585	15.376999837973292
52	52	FP0067-C	-12.125583677443585	15.376999837973292
53	53	FP0068-C	-12.125583677443585	15.376999837973292
54	54	FP0069-C	-12.125583677443585	15.376999837973292
55	55	FP0073-C	-12.125583677443585	15.376999837973292
56	56	FP0075-CW	-12.125583677443585	15.376999837973292
57	57	FP0076-CW		
58	58	FP0077-C	-12.125583677443585	15.376999837973292
59	59	FP0078-C	-12.125583677443585	15.376999837973292
