	vector	angle	mag
0	0.11885308474597195	0.07339496457363098	0.9190969888725053
1	0.044462174500642236	0.03975409615450709	0.9009817354717933
2	0.06872092541735021	0.08720588618924402	0.9065719837897085
3	0.11362797751517216	0.06518029539434429	0.9125282762921381
4	0.09765871088172158	0.13572785857112749	0.9103179325625702
5	0.10531298579371853	0.08167257347695185	0.9140197821208947
6	0.10175741760010704	0.10076235740736371	0.9116854222903517
7	0.07316499460895501	0.07583760557414072	0.9060690871131329
8	0.03097276715583945	0.10788883188427041	0.9003258372950163
9	0.08306385078653912	0.16130457484837532	0.9071189796808211
10	0.0576882498345598	0.08592328227348221	0.9026450833102485
11	0.07332910132839983	0.1723991504793564	0.9140464900958962
12	0.10855525545299721	0.09051291320239387	0.9137628472606106
13	0.084444327392544	0.11271635012540325	0.9069914439242256
14	0.08108999557723744	0.08330072475920379	0.9075721871015802
15	0.053670254205304774	0.035038792816093026	0.9094939190702809
16	0.08834000273098425	0.07028006934963804	0.9102405001389229
17	0.12924617154931742	0.024034485999845135	0.9188609649073772
18	0.07076817399106546	0.2017023539042712	0.9108146180821688
19	0.11971536449074646	0.11315009592096757	0.9221603314935887
20	0.11505500390136145	0.15215616173687138	0.9199841491273946
21	0.06912963775943405	0.1507068917755586	0.909959962882126
22	0.10356873758174094	-0.03488372093023256	0.9086160755508572
23	0.08268347004378089	0.19895453805762214	0.9076541743736773
24	0.0699082324359791	0.15448783006605774	0.9138220602904585
25	0.032699136093945515	0.03637874641460964	0.9044897969324339
26	0.05576467970537426	0.06734343433088655	0.9006753183942585
27	0.06746284869559845	0.09719528995544116	0.9144945215525077
28	0.1861035098146931	0.11720473919558891	0.9154330273717407
29	0.08419990298781034	0.09173174923985791	0.9026310046877671
30	0.1077518256196004	0.09184562045110392	0.9147052868125957
31	0.11373790585151193	0.1653641870485783	0.9181800150641262
32	0.13357649413518313	0.08062102460073649	0.916980226574725
33	0.10439768851261565	0.07095149541885766	0.9123516723954238
34	0.04830796554486801	0.05149649545819498	0.902443841824192
35	0.08409290356950923	0.14694086026180442	0.9179620034542314
36	0.13990400805832995	0.06837510750477535	0.920082492446198
37	0.09418568539602952	0.10050066066006379	0.9114183425403385
38	0.06441063126218767	0.11065776566464142	0.9143479382478491
39	0.12914863819286396	0.0842297068044053	0.9164197731768289
40	0.07495234025951553	0.10130397029576288	0.9094703166737681
41	0.1211927445072855	0.1151016414431582	0.9137825159243714
42	0.09243337721394443	0.10086401334322151	0.9158193613357135
43	0.037621013530282306	0.028839022960162886	0.9073243619381958
44	0.0983024347108193	0.05954656897758974	0.9112286952139722
45	0.07130891926735931	0.09180152123656683	0.9116547805825983
46	0.0645736751299347	0.05290974070904084	0.9063707423036519
47	0.0761450402549307	0.11878320122202445	0.9142676072842794
48	0.07808307845605661	0.13509742613795642	0.9148257832579507
49	0.10573833887075858	0.09596651606681383	0.9128556042648289
50	0.1368486212293715	0.05156191964501995	0.9204499859006737
51	0.03011584444102329	0.07917796579640075	0.9085376079343803
