	sampleID	x	y
0	tsk_0	41.66091078533137	49.03719557364889
1	tsk_1	17.02389863230679	0.9752419263600534
2	tsk_2	5.315956381642581	47.97223282346517
3	tsk_3	48.95795750058647	24.966305544138258
4	tsk_4	47.60097948710617	23.793582577090753
5	tsk_5	33.992455533471855	3.1405248195367195
6	tsk_6	3.1858865663695735	29.526900152313353
7	tsk_7	14.166958454375969	15.63433657975132
8	tsk_8	35.928029911696626	1.6169766017035916
9	tsk_9	7.494988634168277	5.849134027838464
10	tsk_10	30.094779695491162	40.258887570885065
11	tsk_11	15.038273784524021	48.39586422109747
12	tsk_12	39.32690726527119	13.288583937276544
13	tsk_13	9.54910920014839	17.34877301483595
14	tsk_14	34.05855009839213	9.184244063865846
15	tsk_15	1.8008072529445858	24.46402048278418
16	tsk_16	8.176254411645537	48.79864266382892
17	tsk_17	28.62954856181166	11.616984623774474
18	tsk_18	48.965583841418265	17.150258581377475
19	tsk_19	36.01541268458469	22.19785477176218
20	tsk_20	2.3282426899377238	48.306444459954335
21	tsk_21	48.99257460349324	48.799334068538464
22	tsk_22	40.208816375533836	21.53312261136102
23	tsk_23	46.57640617253827	41.879783826967426
24	tsk_24	36.45090105789781	46.73012880994212
25	tsk_25	20.296658298683067	24.462044830912646
26	tsk_26	15.269247448216861	16.11199292326693
27	tsk_27	8.518235703330152	1.4437099138701994
28	tsk_28	37.946778597573854	11.079021810974108
29	tsk_29	7.830109428404223	12.08335027384285
30	tsk_30	7.9111130634036755	25.623686656602683
31	tsk_31	15.389565358757663	38.35294843983126
32	tsk_32	9.819253172452246	49.000318321407526
33	tsk_33	48.14956421778769	12.114908447202904
34	tsk_34	27.353922612947702	21.540830480270788
35	tsk_35	26.767734077454026	40.74686761513163
36	tsk_36	1.1247395125427724	29.07838675362122
37	tsk_37	24.845453734050537	48.96892761193116
38	tsk_38	32.87186078805303	39.080413020557664
39	tsk_39	27.063572084958373	7.430737817054355
40	tsk_40	42.18088235376942	13.23496665320145
41	tsk_41	30.94209499520995	39.63263868844215
42	tsk_42	30.235254633403223	6.033771826542053
43	tsk_43	34.19267420425472	47.288716293094076
44	tsk_44	48.99990161523365	3.766892186100626
45	tsk_45	19.971059973985398	44.66631284834727
46	tsk_46	28.878003495101016	32.889531504188575
47	tsk_47	3.185326019525568	37.51340918507751
48	tsk_48	2.2835600866604038	7.935924014837982
49	tsk_49	29.397006645684556	24.06045662370274
50	tsk_50	23.18685022743374	44.885723436500605
51	tsk_51	25.936094289581025	23.548479162432017
52	tsk_52	24.525187031973672	8.497107390007425
53	tsk_53	48.683767619445625	48.245876547345695
54	tsk_54	40.09511045725493	22.99856243614422
55	tsk_55	15.061315333148638	24.162529662108096
56	tsk_56	18.186288783375538	30.66438846700308
57	tsk_57	34.19460553557264	37.561745322852246
58	tsk_58	32.547715831153596	25.06665973128018
59	tsk_59	36.098073471505444	40.13981581077324
60	tsk_60	35.47992253188284	24.83860132693443
61	tsk_61	42.30944336732201	3.6471388608386053
62	tsk_62	7.755322843729604	16.84055964959647
63	tsk_63	16.723345530187743	13.335520391224868
64	tsk_64	22.629256707750756	23.90034070279338
65	tsk_65	18.77177116887431	8.27247582344246
66	tsk_66	22.09340839304436	24.946798481473103
67	tsk_67	22.406909583542184	25.948240950557214
68	tsk_68	46.040716267289355	36.4114117293318
69	tsk_69	10.4465553162113	24.191774526078625
70	tsk_70	35.62527489920781	13.64405915351378
71	tsk_71	45.034520309740884	2.167267826250524
72	tsk_72	5.799624961814527	6.828504034123483
73	tsk_73	9.453011746912955	14.246982183796893
74	tsk_74	8.462662912948915	46.605632938592976
